firm_id,month,nace_code,region_code,employees
F00001,2023-01-01,C29,R04,21
F00002,2023-01-01,G47,R10,22
F00003,2023-01-01,C29,R01,26
F00004,2023-01-01,C10,R07,18
F00005,2023-01-01,G47,R10,20
F00006,2023-01-01,H49,R01,20
F00007,2023-01-01,H49,R04,16
F00008,2023-01-01,G47,R07,21
F00009,2023-01-01,I55,R05,20
F00010,2023-01-01,I55,R07,19
F00011,2023-01-01,G47,R05,20
F00012,2023-01-01,C10,R01,21
F00013,2023-01-01,G47,R09,19
F00014,2023-01-01,C10,R06,16
F00015,2023-01-01,I56,R08,21
F00016,2023-01-01,I56,R03,21
F00017,2023-01-01,I56,R03,14
F00018,2023-01-01,C10,R02,15
F00019,2023-01-01,I56,R03,19
F00020,2023-01-01,I55,R05,19
F00021,2023-01-01,I56,R04,22
F00022,2023-01-01,I55,R10,25
F00023,2023-01-01,C29,R02,19
F00024,2023-01-01,H49,R01,17
F00025,2023-01-01,H49,R03,19
F00026,2023-01-01,G47,R02,18
F00027,2023-01-01,C10,R02,21
F00028,2023-01-01,G47,R09,18
F00029,2023-01-01,C29,R01,15
F00030,2023-01-01,C10,R04,22
F00031,2023-01-01,I56,R08,10
F00032,2023-01-01,C29,R04,22
F00033,2023-01-01,I56,R10,15
F00034,2023-01-01,C29,R07,22
F00035,2023-01-01,C10,R03,22
F00036,2023-01-01,H49,R09,15
F00037,2023-01-01,I55,R06,23
F00038,2023-01-01,C29,R02,13
F00039,2023-01-01,G47,R01,19
F00040,2023-01-01,G47,R01,17
F00041,2023-01-01,I56,R08,23
F00042,2023-01-01,C10,R09,21
F00043,2023-01-01,C29,R06,20
F00044,2023-01-01,I56,R08,18
F00045,2023-01-01,G47,R02,13
F00046,2023-01-01,H49,R04,28
F00047,2023-01-01,H49,R08,23
F00048,2023-01-01,G47,R01,16
F00049,2023-01-01,I55,R05,21
F00050,2023-01-01,H49,R02,23
F00051,2023-01-01,C10,R05,26
F00052,2023-01-01,H49,R06,23
F00053,2023-01-01,I55,R09,23
F00054,2023-01-01,I56,R06,23
F00055,2023-01-01,I55,R08,23
F00056,2023-01-01,I55,R07,30
F00057,2023-01-01,C29,R08,20
F00058,2023-01-01,I55,R04,19
F00059,2023-01-01,I55,R06,24
F00060,2023-01-01,H49,R05,27
F00061,2023-01-01,I55,R03,17
F00062,2023-01-01,C10,R08,19
F00063,2023-01-01,I56,R08,19
F00064,2023-01-01,I55,R07,17
F00065,2023-01-01,G47,R08,18
F00066,2023-01-01,I55,R02,16
F00067,2023-01-01,C10,R02,19
F00068,2023-01-01,G47,R10,16
F00069,2023-01-01,H49,R10,20
F00070,2023-01-01,H49,R09,19
F00071,2023-01-01,H49,R07,20
F00072,2023-01-01,C10,R01,30
F00073,2023-01-01,I56,R04,25
F00074,2023-01-01,C29,R04,19
F00075,2023-01-01,G47,R07,23
F00076,2023-01-01,C29,R09,18
F00077,2023-01-01,H49,R07,26
F00078,2023-01-01,I55,R07,25
F00079,2023-01-01,G47,R04,18
F00080,2023-01-01,I56,R05,18
F00081,2023-01-01,C10,R04,20
F00082,2023-01-01,G47,R04,24
F00083,2023-01-01,H49,R02,19
F00084,2023-01-01,H49,R08,18
