firm_id,month,nace_code.x,region_code.x,employees_monthly,nace_code.y,region_code.y,turnover_monthly,region_code,nace_code,legal_form,employees_firm,foundation_year,revenue_last_year,turnover_yoy,emp_growth,productivity,month_num,seasonal_index
F00001,2023-01-01,C29,R04,21,C29,R04,111481.61,R04,C29,OHG,35,1967,405111.53,NA,NA,5308.648095238095,1,2.3545402046770887
F00002,2023-01-01,G47,R10,22,G47,R10,48150.22,R10,G47,GmbH,21,2011,60898.36,NA,NA,2188.6463636363637,1,1.0675690718929842
F00003,2023-01-01,C29,R01,26,C29,R01,68933.9,R01,C29,AG,24,2013,76183.56,NA,NA,2651.303846153846,1,1.4650972236866087
F00004,2023-01-01,C10,R07,18,C10,R07,72767,R07,C10,AG,24,1977,67499.03,NA,NA,4042.6111111111113,1,2.104434924455904
F00005,2023-01-01,G47,R10,20,G47,R10,23585.07,R10,G47,KG,30,1985,56143.11,NA,NA,1179.2535,1,0.44628082049767304
F00006,2023-01-01,H49,R01,20,H49,R01,59007.86,R01,H49,OHG,23,2016,216785.71,NA,NA,2950.393,1,1.4493260600228843
F00007,2023-01-01,H49,R04,16,H49,R04,35222.97,R04,H49,KG,19,1968,26861.2,NA,NA,2201.435625,1,0.8195097130003486
F00008,2023-01-01,G47,R07,21,G47,R07,61084.91,R07,G47,OHG,27,1999,638960.85,NA,NA,2908.805238095238,1,0.9942766005836131
F00009,2023-01-01,I55,R05,20,I55,R05,28840.58,R05,I55,GmbH,25,1969,459039.73,NA,NA,1442.029,1,0.7644354698611452
F00010,2023-01-01,I55,R07,19,I55,R07,25763.74,R07,I55,AG,37,1984,220313.93,NA,NA,1355.9863157894738,1,0.4712574149085064
F00011,2023-01-01,G47,R05,20,G47,R05,68305.94,R05,G47,AG,33,1968,247689.39,NA,NA,3415.297,1,1.5205800007357364
F00012,2023-01-01,C10,R01,21,C10,R01,84872.73,R01,C10,GmbH,29,2008,381834.04,NA,NA,4041.558571428571,1,1.6528148530572593
F00013,2023-01-01,G47,R09,19,G47,R09,16503.72,R09,G47,Einzelunternehmen,12,1983,36311.66,NA,NA,868.6168421052632,1,0.3991394638689401
F00014,2023-01-01,C10,R06,16,C10,R06,8384.69,R06,C10,KG,24,1989,548699.74,NA,NA,524.043125,1,0.1642259788342411
F00015,2023-01-01,I56,R08,21,I56,R08,34916.24,R08,I56,AG,22,2018,129065.36,NA,NA,1662.6780952380952,1,0.5740724058286077
F00016,2023-01-01,I56,R03,21,I56,R03,78717.89,R03,I56,AG,27,1977,226567.96,NA,NA,3748.4709523809524,1,1.2668252288065251
