firm_id,month,nace_code,region_code,employees
F00001,2023-01-01,C29,R04,21
F00001,2023-02-01,C29,R04,12
F00001,2023-03-01,C29,R04,18
F00001,2023-04-01,C29,R04,15
F00001,2023-05-01,C29,R04,28
F00001,2023-06-01,C29,R04,14
F00001,2023-07-01,C29,R04,25
F00001,2023-08-01,C29,R04,22
F00001,2023-09-01,C29,R04,13
F00001,2023-10-01,C29,R04,21
F00001,2023-11-01,C29,R04,12
F00001,2023-12-01,C29,R04,21
F00002,2023-01-01,G47,R10,22
F00002,2023-02-01,G47,R10,27
F00002,2023-03-01,G47,R10,NA
F00002,2023-04-01,G47,R10,22
F00002,2023-05-01,G47,R10,18
F00002,2023-06-01,G47,R10,14
F00002,2023-07-01,G47,R10,23
F00002,2023-08-01,G47,R10,23
F00002,2023-09-01,G47,R10,14
F00002,2023-10-01,G47,R10,15
F00002,2023-11-01,G47,R10,18
F00002,2023-12-01,G47,R10,21
F00003,2023-01-01,C29,R01,26
F00003,2023-02-01,C29,R01,20
F00003,2023-03-01,C29,R01,18
F00003,2023-04-01,C29,R01,22
F00003,2023-05-01,C29,R01,24
F00003,2023-06-01,C29,R01,22
F00003,2023-07-01,C29,R01,22
F00003,2023-08-01,C29,R01,18
F00003,2023-09-01,C29,R01,27
F00003,2023-10-01,C29,R01,16
F00003,2023-11-01,C29,R01,15
F00003,2023-12-01,C29,R01,20
F00004,2023-01-01,C10,R07,18
F00004,2023-02-01,C10,R07,20
F00004,2023-03-01,C10,R07,16
F00004,2023-04-01,C10,R07,16
F00004,2023-05-01,C10,R07,19
F00004,2023-06-01,C10,R07,14
F00004,2023-07-01,C10,R07,21
F00004,2023-08-01,C10,R07,14
F00004,2023-09-01,C10,R07,20
F00004,2023-10-01,C10,R07,15
F00004,2023-11-01,C10,R07,22
F00004,2023-12-01,C10,R07,19
F00005,2023-01-01,G47,R10,20
F00005,2023-02-01,G47,R10,22
F00005,2023-03-01,G47,R10,23
F00005,2023-04-01,G47,R10,25
F00005,2023-05-01,G47,R10,16
F00005,2023-06-01,G47,R10,28
F00005,2023-07-01,G47,R10,21
F00005,2023-08-01,G47,R10,22
F00005,2023-09-01,G47,R10,16
F00005,2023-10-01,G47,R10,17
F00005,2023-11-01,G47,R10,13
F00005,2023-12-01,G47,R10,25
F00006,2023-01-01,H49,R01,20
F00006,2023-02-01,H49,R01,19
F00006,2023-03-01,H49,R01,27
F00006,2023-04-01,H49,R01,20
F00006,2023-05-01,H49,R01,23
F00006,2023-06-01,H49,R01,16
F00006,2023-07-01,H49,R01,26
F00006,2023-08-01,H49,R01,22
F00006,2023-09-01,H49,R01,23
F00006,2023-10-01,H49,R01,19
F00006,2023-11-01,H49,R01,14
F00006,2023-12-01,H49,R01,16
F00007,2023-01-01,H49,R04,16
F00007,2023-02-01,H49,R04,15
F00007,2023-03-01,H49,R04,25
F00007,2023-04-01,H49,R04,19
F00007,2023-05-01,H49,R04,17
F00007,2023-06-01,H49,R04,24
F00007,2023-07-01,H49,R04,12
F00007,2023-08-01,H49,R04,19
F00007,2023-09-01,H49,R04,17
F00007,2023-10-01,H49,R04,21
F00007,2023-11-01,H49,R04,14
F00007,2023-12-01,H49,R04,20
F00008,2023-01-01,G47,R07,21
F00008,2023-02-01,G47,R07,20
F00008,2023-03-01,G47,R07,20
F00008,2023-04-01,G47,R07,19
F00008,2023-05-01,G47,R07,23
F00008,2023-06-01,G47,R07,13
F00008,2023-07-01,G47,R07,26
