firm_id,month,nace_code,region_code,turnover
F00001,2023-01-01,C29,R04,111481.61
F00001,2023-02-01,C29,R04,17563.93
F00001,2023-03-01,C29,R04,18444.12
F00001,2023-04-01,C29,R04,49320.86
F00001,2023-05-01,C29,R04,43129.26
F00001,2023-06-01,C29,R04,28053.39
F00001,2023-07-01,C29,R04,12551.81
F00001,2023-08-01,C29,R04,34124.97
F00001,2023-09-01,C29,R04,39834.04
F00001,2023-10-01,C29,R04,75346.63
F00001,2023-11-01,C29,R04,114020.08
F00001,2023-12-01,C29,R04,24299.39
F00002,2023-01-01,G47,R10,48150.22
F00002,2023-02-01,G47,R10,17222.14
F00002,2023-03-01,G47,R10,9074.75
F00002,2023-04-01,G47,R10,57485
F00002,2023-05-01,G47,R10,45121.76
F00002,2023-06-01,G47,R10,27461.28
F00002,2023-07-01,G47,R10,101163.89
F00002,2023-08-01,G47,R10,21312.41
F00002,2023-09-01,G47,R10,39467.04
F00002,2023-10-01,G47,R10,20283.19
F00002,2023-11-01,G47,R10,113956.31
F00002,2023-12-01,G47,R10,40534.1
F00003,2023-01-01,C29,R01,68933.9
F00003,2023-02-01,C29,R01,31314.41
F00003,2023-03-01,C29,R01,32908.3
F00003,2023-04-01,C29,R01,27726.59
F00003,2023-05-01,C29,R01,12958.31
F00003,2023-06-01,C29,R01,56778.44
F00003,2023-07-01,C29,R01,53749.81
F00003,2023-08-01,C29,R01,42552.41
F00003,2023-09-01,C29,R01,83356.88
F00003,2023-10-01,C29,R01,37484.64
F00003,2023-11-01,C29,R01,38487.91
F00003,2023-12-01,C29,R01,78357.21
F00004,2023-01-01,C10,R07,72767
F00004,2023-02-01,C10,R07,12873.6
F00004,2023-03-01,C10,R07,38731.62
F00004,2023-04-01,C10,R07,7447.42
F00004,2023-05-01,C10,R07,13181.6
F00004,2023-06-01,C10,R07,49483.09
F00004,2023-07-01,C10,R07,59260.59
F00004,2023-08-01,C10,R07,27089.05
F00004,2023-09-01,C10,R07,21061.09
F00004,2023-10-01,C10,R07,27453.61
F00004,2023-11-01,C10,R07,45715.06
F00004,2023-12-01,C10,R07,39871.41
F00005,2023-01-01,G47,R10,23585.07
F00005,2023-02-01,G47,R10,58399.04
F00005,2023-03-01,G47,R10,10635.47
F00005,2023-04-01,G47,R10,21463.63
F00005,2023-05-01,G47,R10,53474.05
F00005,2023-06-01,G47,R10,157988.11
F00005,2023-07-01,G47,R10,32118.33
F00005,2023-08-01,G47,R10,49147.61
F00005,2023-09-01,G47,R10,33833.95
F00005,2023-10-01,G47,R10,87085.1
F00005,2023-11-01,G47,R10,61232.02
F00005,2023-12-01,G47,R10,45214.19
F00006,2023-01-01,H49,R01,59007.86
F00006,2023-02-01,H49,R01,23782.28
F00006,2023-03-01,H49,R01,14702.98
F00006,2023-04-01,H49,R01,41657.33
F00006,2023-05-01,H49,R01,27236.25
F00006,2023-06-01,H49,R01,10896.32
F00006,2023-07-01,H49,R01,38072.58
F00006,2023-08-01,H49,R01,23269.37
F00006,2023-09-01,H49,R01,50810.27
F00006,2023-10-01,H49,R01,49317.31
F00006,2023-11-01,H49,R01,65472.02
F00006,2023-12-01,H49,R01,84343.42
F00007,2023-01-01,H49,R04,35222.97
F00007,2023-02-01,H49,R04,11448.25
F00007,2023-03-01,H49,R04,197603.8
F00007,2023-04-01,H49,R04,40417.68
F00007,2023-05-01,H49,R04,29720.15
F00007,2023-06-01,H49,R04,15122.01
F00007,2023-07-01,H49,R04,32836.13
F00007,2023-08-01,H49,R04,12144.58
F00007,2023-09-01,H49,R04,75942.64
F00007,2023-10-01,H49,R04,28466.46
F00007,2023-11-01,H49,R04,16728.82
F00007,2023-12-01,H49,R04,20112.99
F00008,2023-01-01,G47,R07,61084.91
F00008,2023-02-01,G47,R07,10621.63
F00008,2023-03-01,G47,R07,52264.51
F00008,2023-04-01,G47,R07,15881.07
F00008,2023-05-01,G47,R07,68031.52
F00008,2023-06-01,G47,R07,44649.55
F00008,2023-07-01,G47,R07,24422.64
F00008,2023-08-01,G47,R07,54867.45
F00008,2023-09-01,G47,R07,36020.57
F00008,2023-10-01,G47,R07,13513.6
F00008,2023-11-01,G47,R07,335847.08
F00008,2023-12-01,G47,R07,20033.9
F00009,2023-01-01,I55,R05,28840.58
F00009,2023-02-01,I55,R05,76842.6
F00009,2023-03-01,I55,R05,12772.65
F00009,2023-04-01,I55,R05,19385.69
F00009,2023-05-01,I55,R05,162331.73
F00009,2023-06-01,I55,R05,9782.94
F00009,2023-07-01,I55,R05,15222.48
F00009,2023-08-01,I55,R05,11440.74
F00009,2023-09-01,I55,R05,41380.81
F00009,2023-10-01,I55,R05,27931.58
F00009,2023-11-01,I55,R05,15868.27
F00009,2023-12-01,I55,R05,30935.28
F00010,2023-01-01,I55,R07,25763.74
F00010,2023-02-01,I55,R07,72539.44
F00010,2023-03-01,I55,R07,NA
F00010,2023-04-01,I55,R07,19952.22
F00010,2023-05-01,I55,R07,119043.6
F00010,2023-06-01,I55,R07,15546.22
F00010,2023-07-01,I55,R07,36085.06
F00010,2023-08-01,I55,R07,23937.12
F00010,2023-09-01,I55,R07,80453.72
F00010,2023-10-01,I55,R07,10877.48
F00010,2023-11-01,I55,R07,6577.01
F00010,2023-12-01,I55,R07,197684.07
F00011,2023-01-01,G47,R05,68305.94
F00011,2023-02-01,G47,R05,32182.94
F00011,2023-03-01,G47,R05,52429.49
F00011,2023-04-01,G47,R05,13382.91
F00011,2023-05-01,G47,R05,25104.7
F00011,2023-06-01,G47,R05,75964.6
F00011,2023-07-01,G47,R05,40163.43
F00011,2023-08-01,G47,R05,37491.42
F00011,2023-09-01,G47,R05,40807.68
F00011,2023-10-01,G47,R05,25563.46
F00011,2023-11-01,G47,R05,37056.85
F00011,2023-12-01,G47,R05,90598.31
F00012,2023-01-01,C10,R01,84872.73
F00012,2023-02-01,C10,R01,77038.9
F00012,2023-03-01,C10,R01,16177.43
F00012,2023-04-01,C10,R01,18839.72
F00012,2023-05-01,C10,R01,81127.47
F00012,2023-06-01,C10,R01,68468.94
F00012,2023-07-01,C10,R01,94836.26
F00012,2023-08-01,C10,R01,15207.11
F00012,2023-09-01,C10,R01,28917.92
F00012,2023-10-01,C10,R01,68281.84
F00012,2023-11-01,C10,R01,44098.44
F00012,2023-12-01,C10,R01,18338.23
F00013,2023-01-01,G47,R09,16503.72
F00013,2023-02-01,G47,R09,48819.94
F00013,2023-03-01,G47,R09,29180.76
F00013,2023-04-01,G47,R09,27830.09
F00013,2023-05-01,G47,R09,31195.44
F00013,2023-06-01,G47,R09,92044.28
F00013,2023-07-01,G47,R09,34786.26
F00013,2023-08-01,G47,R09,54046.48
F00013,2023-09-01,G47,R09,41850.87
F00013,2023-10-01,G47,R09,61131.38
F00013,2023-11-01,G47,R09,21795.88
F00013,2023-12-01,G47,R09,36993.95
F00014,2023-01-01,C10,R06,8384.69
F00014,2023-02-01,C10,R06,30413.57
F00014,2023-03-01,C10,R06,16745.79
F00014,2023-04-01,C10,R06,136072.71
F00014,2023-05-01,C10,R06,13183.04
F00014,2023-06-01,C10,R06,97864.37
F00014,2023-07-01,C10,R06,19137.5
F00014,2023-08-01,C10,R06,62503.38
F00014,2023-09-01,C10,R06,23862.38
F00014,2023-10-01,C10,R06,66211.33
F00014,2023-11-01,C10,R06,NA
F00014,2023-12-01,C10,R06,70102.25
F00015,2023-01-01,I56,R08,34916.24
F00015,2023-02-01,I56,R08,45850.87
F00015,2023-03-01,I56,R08,15972.57
F00015,2023-04-01,I56,R08,34858.93
F00015,2023-05-01,I56,R08,80648.18
F00015,2023-06-01,I56,R08,39462.11
F00015,2023-07-01,I56,R08,118870.62
F00015,2023-08-01,I56,R08,23105.92
F00015,2023-09-01,I56,R08,42693.71
F00015,2023-10-01,I56,R08,130183.72
F00015,2023-11-01,I56,R08,120404.93
F00015,2023-12-01,I56,R08,42896.37
F00016,2023-01-01,I56,R03,78717.89
F00016,2023-02-01,I56,R03,56657.78
F00016,2023-03-01,I56,R03,11965.85
F00016,2023-04-01,I56,R03,28542.03
F00016,2023-05-01,I56,R03,83918.88
F00016,2023-06-01,I56,R03,104864.01
F00016,2023-07-01,I56,R03,87099.52
F00016,2023-08-01,I56,R03,12202.57
F00016,2023-09-01,I56,R03,35065.69
F00016,2023-10-01,I56,R03,10629.69
F00016,2023-11-01,I56,R03,56037.17
F00016,2023-12-01,I56,R03,179954.01
F00017,2023-01-01,I56,R03,114982.57
F00017,2023-02-01,I56,R03,20073.2
F00017,2023-03-01,I56,R03,40504.74
F00017,2023-04-01,I56,R03,27884.25
F00017,2023-05-01,I56,R03,12066.42
F00017,2023-06-01,I56,R03,90742.82
F00017,2023-07-01,I56,R03,42854.44
F00017,2023-08-01,I56,R03,111472.83
F00017,2023-09-01,I56,R03,48087.54
F00017,2023-10-01,I56,R03,70850.15
F00017,2023-11-01,I56,R03,87525.61
F00017,2023-12-01,I56,R03,12817.31
F00018,2023-01-01,C10,R02,11120.65
F00018,2023-02-01,C10,R02,60798.57
F00018,2023-03-01,C10,R02,21419.28
F00018,2023-04-01,C10,R02,45350.87
F00018,2023-05-01,C10,R02,38576.69
F00018,2023-06-01,C10,R02,20811.91
F00018,2023-07-01,C10,R02,39724.56
F00018,2023-08-01,C10,R02,36856.62
F00018,2023-09-01,C10,R02,34773.73
F00018,2023-10-01,C10,R02,9710.9
F00018,2023-11-01,C10,R02,9681.67
F00018,2023-12-01,C10,R02,143225.37
F00019,2023-01-01,I56,R03,71900.67
F00019,2023-02-01,I56,R03,84487.7
F00019,2023-03-01,I56,R03,7448.5
F00019,2023-04-01,I56,R03,31862.9
F00019,2023-05-01,I56,R03,81893.86
F00019,2023-06-01,I56,R03,24450.99
F00019,2023-07-01,I56,R03,143393.58
F00019,2023-08-01,I56,R03,29474.48
F00019,2023-09-01,I56,R03,28438.94
F00019,2023-10-01,I56,R03,52920.03
F00019,2023-11-01,I56,R03,28701.5
F00019,2023-12-01,I56,R03,49072.99
F00020,2023-01-01,I55,R05,48904.87
F00020,2023-02-01,I55,R05,19537.44
F00020,2023-03-01,I55,R05,13375.33
F00020,2023-04-01,I55,R05,78358
F00020,2023-05-01,I55,R05,16032.04
F00020,2023-06-01,I55,R05,7652
F00020,2023-07-01,I55,R05,42939.49
F00020,2023-08-01,I55,R05,20445.72
F00020,2023-09-01,I55,R05,3801.99
F00020,2023-10-01,I55,R05,61176.69
F00020,2023-11-01,I55,R05,220498.21
F00020,2023-12-01,I55,R05,10787.46
F00021,2023-01-01,I56,R04,16023.36
F00021,2023-02-01,I56,R04,49482.6
F00021,2023-03-01,I56,R04,24818.3
F00021,2023-04-01,I56,R04,23411.01
