year,nace_code,n_enterprises,n_complete_turnover,n_complete_employment,n_complete_both,total_turnover,average_turnover_per_enterprise,total_average_employment,average_employment_per_enterprise,turnover_complete_both,employment_complete_both,turnover_per_employee
2023,C10,291,274,278,262,1898065726.5055401,6927247.177027515,13426.83333333333,48.29796163069545,1813468420.6286547,12696.833333333332,142828.40240705595
2023,C29,233,226,222,215,4116211926.920223,18213327.110266477,18882.333333333336,85.05555555555556,3960277922.4402237,18439.416666666668,214772.40815319846
2023,G47,224,220,218,214,946327475.2658447,4301488.523935658,4994.166666666669,22.909021406727827,929207637.9808449,4926.416666666669,188617.34620786124
2023,H49,258,252,250,244,1180114250.0612013,4682993.05579842,9375.000000000005,37.5,1155244615.194316,9159.500000000004,126125.29234066438
2023,I55,236,223,230,217,644222046.1229596,2888888.0992060946,5843.083333333333,25.404710144927535,627465908.2329596,5517.916666666667,113714.27771344129
2023,I56,258,247,254,243,452853016.23334146,1833413.0211876163,4951.583333333335,19.49442257217848,443524567.1833415,4787.000000000001,92651.88368150019
2024,C10,291,283,281,273,2050066306.258868,7244050.55215148,13341.583333333341,47.47894424673784,1977328297.7718847,13115.666666666672,150760.79226664428
2024,C29,233,231,228,226,4269372228.477066,18482130.85920809,19520.916666666664,85.61805555555556,4170190283.9470663,19160.75,217642.3304905636
2024,G47,224,219,218,213,978952102.2148497,4470100.923355478,5031.25,23.079128440366972,957509337.9599317,4882.5,196110.463483857
2024,H49,258,254,254,250,1226924420.5322518,4830411.104457683,9541.833333333328,37.566272965879264,1205479412.2972517,9381.91666666666,128489.67381902268
2024,I55,236,226,231,221,689314583.1438817,3050064.527185321,6017.000000000001,26.047619047619047,674691821.8838818,5811.25,116100.98031987641
2024,I56,258,255,250,247,488107164.6226825,1914145.743618365,4927.583333333333,19.710333333333335,472778463.70792836,4845.583333333333,97568.94705651436
2025,C10,291,278,281,269,2062911762.0112941,7420545.906515444,13621.916666666662,48.476571767497035,2002404774.8612943,13082.916666666662,153054.92084675014
2025,C29,233,223,224,214,4270139376.997856,19148607.07173926,19234.749999999993,85.86941964285714,4086190381.3593316,18216.749999999993,224309.51631654016
2025,G47,224,214,216,206,1029349842.3032949,4810045.99207147,5157.833333333333,23.878858024691358,999918066.6932948,4964.416666666665,201417.0312107757
2025,H49,258,250,247,239,1262076045.227501,5048304.180910008,9405.750000000004,38.07995951417004,1198991469.1252058,9049.666666666675,132490.12513814925
2025,I55,236,230,229,223,755312927.2420714,3283969.248878571,6064.083333333338,26.480713245997087,734145380.2920716,5982.833333333336,122708.64645381029
2025,I56,258,254,249,245,508832013.2812961,2003275.6428397489,5061.166666666665,20.325970548862117,489700153.79973865,4923.083333333332,99470.21422206383
